	sex	Staining_Red_DNP_(High)_1X	Staining_Red_DNP_(High)_1Y	Staining_Purple_DNP_(Bgnd)_1X	Staining_Purple_DNP_(Bgnd)_1Y	Staining_Green_Biotin_(High)_1X	Staining_Green_Biotin_(High)_1Y	Staining_Blue_Biotin_(Bgnd)_1X	Staining_Blue_Biotin_(Bgnd)_1Y	Extension_Red_Extension_(A)_1X	Extension_Red_Extension_(A)_1Y	Extension_Purple_Extension_(T)_1X	Extension_Purple_Extension_(T)_1Y	Extension_Green_Extension_(C)_1X	Extension_Green_Extension_(C)_1Y	Extension_Blue_Extension_(G)_1X	Extension_Blue_Extension_(G)_1Y	Target_Removal_Green_Target_Removal_1X	Target_Removal_Green_Target_Removal_1Y	Hybridization_Green_Hyb_(High)_1X	Hybridization_Green_Hyb_(High)_1Y	Hybridization_Blue_Hyb_(Medium)_1X	Hybridization_Blue_Hyb_(Medium)_1Y	Hybridization_Black_Hyb_(Low)_1X	Hybridization_Black_Hyb_(Low)_1Y	Stringency_Red_String_(PM)_1X	Stringency_Red_String_(PM)_1Y	Stringency_Purple_String_(MM)_1X	Stringency_Purple_String_(MM)_1Y	Non-Specific_Binding_Red_NSB_(Bgnd)_1X	Non-Specific_Binding_Red_NSB_(Bgnd)_1Y	Non-Specific_Binding_Purple_NSB_(Bgnd)_1X	Non-Specific_Binding_Purple_NSB_(Bgnd)_1Y	Non-Specific_Binding_Blue_NSB_(Bgnd)_1X	Non-Specific_Binding_Blue_NSB_(Bgnd)_1Y	Non-Specific_Binding_Green_NSB_(Bgnd)_1X	Non-Specific_Binding_Green_NSB_(Bgnd)_1Y	Non-Polymorphic_Red_NP_(A)_1X	Non-Polymorphic_Red_NP_(A)_1Y	Non-Polymorphic_Purple_NP_(T)_1X	Non-Polymorphic_Purple_NP_(T)_1Y	Non-Polymorphic_Green_NP_(C)_1X	Non-Polymorphic_Green_NP_(C)_1Y	Non-Polymorphic_Blue_NP_(G)_1X	Non-Polymorphic_Blue_NP_(G)_1Y	Restoration_Green_Restore_1X	Restoration_Green_Restore_1Y
WG4564689-DNA-E02-11	F	46000	456	623	409	1277	15335	735	391	38546	580	42187	425	1689	16839	2069	16523	1267	348	2219	15997	838	10349	2040	3242	27318	546	8300	382	645	326	668	328	692	357	671	335	13899	414	18292	409	989	8517	948	7195	616	385
WG4564689-DNA-G09-12	M	47164	566	715	527	1308	15668	834	511	41958	727	45895	647	1826	17242	2250	16236	1446	527	2397	16386	841	10565	2309	3409	31589	761	9756	543	730	530	767	468	710	545	740	473	15350	609	20024	632	1107	9132	1211	7739	793	576
WG4564689-DNA-D08-13	M	44945	497	696	331	1434	14426	781	415	38969	526	41971	460	1754	15809	2069	15332	1103	373	2132	14934	857	9584	1820	3326	26945	534	8860	384	723	346	724	320	710	360	700	342	12475	382	17790	430	942	8099	949	6887	724	353
WG4564689-DNA-A11-14	F	29270	321	426	239	816	9960	491	248	27584	449	31395	319	1269	10111	1502	9897	781	249	1514	9492	520	6841	1187	2401	16900	353	4615	256	361	219	379	231	365	264	439	228	9971	305	11212	279	590	5633	603	4644	402	290
WG4564689-DNA-A08-15	M	41548	388	515	216	1141	11477	668	319	33008	383	36994	288	1350	12080	1720	11656	967	226	1625	11150	643	7106	1495	2318	22313	370	6501	236	548	243	545	218	522	237	507	213	11599	283	15241	287	769	5868	795	5041	471	280
WG4564689-DNA-A09-16	M	43650	487	501	309	1121	11491	723	368	31987	489	39274	408	1198	11785	1427	11040	853	321	1549	11029	638	7267	1324	2203	23081	461	5328	299	466	329	451	302	472	318	527	264	11358	363	15854	330	677	5663	756	4830	491	352
WG4564689-DNA-E12-17	M	35659	383	594	307	1204	13257	620	378	35491	565	37512	457	2477	14197	2799	13513	1094	344	2543	12957	706	8989	2415	3333	21868	513	7720	351	565	333	550	305	596	320	597	296	13211	414	15111	396	939	7909	1058	6691	594	400
WG4564689-DNA-B12-18	F	28615	393	413	262	865	10618	539	331	29108	515	29917	402	1695	10516	1988	10550	831	250	1763	9691	544	6783	1714	2737	15536	454	4928	262	399	272	365	243	391	263	415	234	8076	331	10111	351	642	6008	748	5162	366	306
WG4564689-DNA-D07-19	M	45584	666	720	382	1411	17336	1007	572	40356	646	42784	587	1896	18027	2194	17191	1177	370	2297	16894	830	10719	2075	3753	26648	577	8899	435	612	332	631	357	651	373	640	355	13713	501	18237	513	909	9200	1042	8094	645	441
WG4564689-DNA-E04-20	F	46388	639	678	431	1392	13734	748	561	45100	676	46704	576	2369	15346	2873	15140	1334	432	2655	14004	888	9302	2534	3391	28674	608	8779	415	590	403	589	393	605	395	634	372	14972	483	19902	484	863	7697	1047	6893	645	482
WG4564689-DNA-C11-21	M	33560	401	525	260	996	11641	636	316	31969	454	34929	369	1631	12438	1894	11864	879	264	1913	11793	705	7854	1584	2650	20813	380	6331	249	498	246	474	213	591	256	561	276	10241	303	13952	304	720	6357	790	5154	505	278
WG4564689-DNA-D10-22	F	49341	646	639	461	1356	15965	831	592	41879	696	45890	544	1632	16628	2109	16071	1006	517	2250	15944	855	10357	1923	3387	29277	607	8361	489	658	485	721	448	711	424	623	452	15952	492	19795	571	803	8526	887	7055	661	527
WG4564689-DNA-H08-23	M	52529	762	962	549	1562	20561	953	582	47203	942	49460	753	2403	24070	2892	23477	1951	588	2760	22265	1194	14367	3139	4525	34629	918	11490	608	886	544	913	528	983	552	966	545	17379	728	23640	707	1418	12026	1297	10136	1051	663
WG4564689-DNA-A07-24	M	43603	597	545	307	1314	14413	928	512	35556	527	38010	448	1629	13809	2064	13394	1115	329	1854	12981	690	8344	1893	2853	23500	484	6518	332	519	316	509	282	558	312	559	302	9118	410	15515	396	821	7005	761	6085	547	384
WG4564689-DNA-F07-25	M	51883	709	843	465	1561	21847	1065	616	45453	787	47888	600	2299	21833	2581	21818	1375	418	2717	21041	996	13611	2509	4585	33594	696	13752	460	745	436	722	385	688	431	779	350	16284	521	18487	553	1530	12836	1089	8789	752	535
WG4564689-DNA-D05-26	F	48134	625	570	371	1380	15141	1060	615	40279	544	44545	445	1617	14365	1990	13827	1153	411	2000	13331	773	8769	1873	2853	28179	542	7732	391	564	374	527	364	542	408	593	378	14669	418	17236	418	862	7137	795	5632	558	409
WG4564689-DNA-C12-27	M	33859	337	413	259	1057	12335	568	324	32919	457	33766	360	2056	11722	2317	11559	916	257	2116	10803	587	7426	2007	2889	19365	441	6364	281	447	254	393	245	373	262	455	222	9615	323	12998	341	719	6494	846	5451	478	274
WG4564689-DNA-B10-28	F	45761	543	593	424	1220	13627	711	472	37546	579	41845	435	1433	13579	1719	13048	939	404	1860	13138	716	8304	1650	2762	26650	517	7148	399	655	351	562	392	586	410	546	323	12520	387	17293	452	814	7078	823	5916	589	441
WG4564689-DNA-G05-29	F	50036	766	713	473	1573	18983	1047	660	43171	699	46664	559	1806	17582	2284	17003	1378	473	2400	16841	942	10983	2385	3497	31053	709	8620	501	680	466	733	426	608	522	636	475	12357	551	17901	554	1113	9424	959	7713	694	521
WG4564689-DNA-B09-30	F	41305	457	462	304	1150	10576	716	386	34533	464	40216	434	1243	11683	1551	11138	856	373	1716	11233	668	7167	1340	2325	24048	420	5822	327	494	311	448	332	506	342	491	305	13144	379	16149	373	720	5954	768	4951	512	388
WG4564689-DNA-F02-31	M	47944	518	609	365	1379	16135	816	385	38636	566	41621	456	1672	17357	1919	17011	1199	411	2101	16725	870	10709	1938	3302	27449	560	8437	397	682	365	660	367	639	335	727	292	14593	434	18429	450	958	9142	1012	7684	686	413
WG4564689-DNA-E11-32	M	38243	421	680	352	1052	13443	674	369	36225	519	39134	436	1722	15597	2095	15205	1032	372	2090	14758	821	9613	1949	3243	24338	472	7309	323	605	356	627	317	585	333	569	331	13014	408	16135	394	805	7896	929	6813	651	369
WG4564689-DNA-F04-33	F	48846	710	643	464	1394	14770	753	605	46560	701	47621	575	2231	17156	2633	16809	1308	443	2602	15731	820	10361	2532	3702	30815	657	10391	514	616	456	553	482	585	480	650	431	16088	528	19890	551	907	8689	951	7469	649	553
WG4564689-DNA-E01-34	F	48566	559	721	432	1354	14457	733	475	42177	644	45977	548	1762	15974	2047	15522	1315	420	2241	15275	880	9903	2175	3170	29413	557	7963	448	659	423	618	418	621	448	602	377	16376	505	20850	501	963	8081	1016	6807	703	476
WG4564689-DNA-C03-35	F	47211	506	554	364	1273	12051	591	374	42115	523	45941	438	1738	13931	2178	13422	1237	391	2165	12850	717	8290	2005	2853	28525	507	8951	341	542	384	500	326	553	338	579	318	14755	422	18150	396	860	6966	840	5998	544	420
WG4564689-DNA-D11-36	M	37371	394	582	298	1063	12684	691	357	35607	441	38686	415	1697	14496	2097	13795	1027	291	2055	13496	776	8864	1697	2961	22972	457	6749	309	559	305	578	293	543	322	590	286	13190	330	15620	326	732	7192	886	6059	586	382
WG4564689-DNA-C06-37	F	46490	586	598	318	1256	15585	838	570	36433	453	40603	358	1656	14948	1908	14303	1174	315	1995	14034	832	9091	1940	3009	25542	456	8171	326	593	310	576	312	582	341	581	286	13988	380	16897	400	954	7583	907	6295	596	377
WG4564689-DNA-B02-38	F	43867	400	520	253	1149	11685	681	287	35820	421	39843	284	1451	13379	1754	12944	1078	250	1875	12770	770	8130	1629	2543	25678	402	7875	288	539	258	476	265	534	245	544	215	11332	285	16909	315	817	6655	800	5422	513	300
WG4564689-DNA-E07-39	M	49479	729	831	463	1517	19584	1229	809	44531	769	45956	686	2236	20110	2640	19572	1421	496	2734	19092	1066	12270	2526	4155	30654	677	10417	503	827	449	833	513	797	486	902	472	18176	591	20747	616	1129	10540	1241	9268	818	542
WG4564689-DNA-G03-40	F	51207	654	642	509	1378	16050	615	526	45774	737	49042	637	1846	18295	2383	17868	1563	510	2488	17281	879	11236	2837	3601	32084	743	9493	560	552	477	643	489	593	502	649	512	17434	604	20804	576	929	9140	1029	7964	625	588
WG4564689-DNA-A01-41	M	39697	420	389	319	997	10289	552	328	35032	505	39880	369	1280	12595	1635	12191	900	315	1583	11706	552	7528	1371	2413	25242	477	7287	289	399	299	387	281	475	327	441	292	10797	375	16897	402	683	6111	628	5026	415	377
WG4564689-DNA-H02-42	F	52781	630	766	449	1695	20387	931	508	44195	704	47558	567	1977	21936	2457	21689	1653	422	2360	20650	953	13735	2635	4004	31529	649	8845	403	710	403	747	398	747	472	765	445	17857	529	20790	557	1110	10824	1104	9423	757	451
WG4564689-DNA-G11-43	M	43583	410	590	362	1042	17794	664	345	39230	633	41430	476	1708	19024	2114	18633	1239	399	2236	18331	797	12118	2086	4010	28650	558	10973	440	591	355	587	347	601	351	637	381	10416	400	15751	411	1199	11567	804	6837	593	408
WG4564689-DNA-H04-44	M	54731	836	662	565	1582	19473	806	651	49704	778	51967	697	2379	21354	2903	21054	1709	581	2776	19571	906	12881	3034	4332	34694	818	9932	562	655	541	568	510	592	553	588	547	15474	650	22415	668	1023	10736	1069	9028	652	665
WG4564689-DNA-H07-45	F	52949	838	882	561	1802	26223	1204	806	46514	909	48820	728	2361	25334	2907	24867	1669	589	2621	23980	1047	15611	2999	4894	32491	798	9755	603	853	545	859	492	806	532	801	505	17419	674	22714	694	1116	12872	1159	11181	871	566
WG4564689-DNA-C10-46	F	46109	602	598	420	1166	15102	779	516	38802	580	42561	489	1418	14877	1811	14308	1072	446	2074	14407	862	9275	1828	3086	27757	599	7937	459	614	430	619	386	585	478	655	412	13266	481	18039	486	876	7926	900	6188	564	445
WG4564689-DNA-E03-47	F	48988	592	653	421	1265	14480	596	470	43822	604	46622	554	1821	16001	2306	15406	1423	415	2354	14930	872	9724	2284	3235	30714	646	10111	458	622	425	632	385	603	483	614	435	14558	545	19872	483	934	8022	1052	7207	630	509
WG4564689-DNA-B07-48	F	44546	554	566	290	1157	14520	916	488	35632	470	37655	447	1703	14227	1940	14144	1017	318	2013	13480	725	8566	1872	3028	22624	462	6885	311	493	307	518	284	503	303	498	283	10560	344	15814	374	828	7393	777	6376	539	308
WG4564689-DNA-C05-49	F	46743	551	608	322	1298	13519	1082	525	38050	501	42006	411	1600	12228	1835	12254	1067	285	1967	11706	717	7659	1730	2496	25668	430	6220	371	561	326	551	314	578	353	545	316	13168	370	16207	356	788	6303	795	4961	579	386
WG4564689-DNA-G07-50	F	49929	741	911	462	1603	22865	1088	696	42910	772	44846	653	2097	21259	2664	20603	1437	496	2553	20607	1028	13265	2592	4383	30062	749	9125	562	831	500	776	416	791	464	814	471	16582	597	20609	581	1138	11280	1208	9946	827	463
WG4564689-DNA-F09-51	M	45464	520	746	476	1246	14331	808	512	40480	672	44751	605	1734	15662	2182	15166	1272	518	2311	15118	906	9713	2144	3260	28777	671	7229	491	722	480	767	495	711	521	770	448	14852	573	19479	580	1108	8317	977	6879	756	524
WG4564689-DNA-B01-52	F	46425	487	499	321	1265	11761	687	383	39007	472	43426	375	1389	13017	1844	12519	1056	338	1794	12374	620	7983	1669	2600	26751	488	6821	347	494	334	507	314	427	325	498	309	14383	396	17917	402	802	6507	764	5490	465	365
WG4564689-DNA-F01-53	M	49986	655	708	455	1449	15413	801	526	42916	691	46891	578	1722	17057	2178	16365	1316	472	2323	16434	916	10544	2265	3414	31061	680	9098	488	644	409	637	476	687	440	662	478	15002	504	20774	536	932	8910	969	7374	673	557
WG4564689-DNA-A06-54	F	42915	491	590	268	1251	12832	679	492	33691	466	39007	332	1391	13530	1813	12935	1029	234	1728	12230	659	7908	1554	2512	23804	393	6834	245	467	281	463	247	514	273	487	255	11085	300	15218	310	793	6509	706	5529	509	348
WG4564689-DNA-D01-55	M	45341	521	670	380	1321	12819	719	435	41877	585	45368	453	1579	15198	1781	14657	1127	421	2094	14549	806	9221	1842	3043	28944	593	7918	410	632	371	664	376	578	424	635	360	12964	431	20184	488	879	7833	996	6721	630	448
WG4564689-DNA-F10-56	M	50525	654	732	533	1468	16862	786	655	42743	759	46191	650	1824	17984	2199	17467	1381	592	2382	17315	962	11355	2245	3532	31090	717	8415	531	744	511	738	543	763	578	739	490	16806	655	20129	614	1141	9561	1088	7834	802	563
WG4564689-DNA-H11-57	F	41509	499	611	466	1057	16027	706	440	41349	787	43606	545	2046	20938	2374	20346	1371	442	2410	19537	882	12710	2500	4127	28876	675	7443	465	670	471	652	402	662	475	678	399	14468	527	16851	521	968	10978	970	8766	632	505
WG4564689-DNA-D12-58	F	33862	386	547	319	1037	12217	583	348	34702	606	35346	479	2203	13032	2697	13169	1061	312	2359	12056	684	8467	2269	3306	20506	508	7038	357	504	305	504	295	541	331	555	331	12346	401	14256	403	790	7533	856	6359	588	366
WG4564689-DNA-F08-59	M	48668	535	921	432	1521	16169	848	509	41659	717	44886	560	1888	18578	2448	18171	1497	470	2352	17504	1022	11188	2516	3646	28162	595	8881	446	815	441	884	426	836	445	931	432	14896	533	19789	494	1163	9438	1104	7922	837	512
WG4564689-DNA-B06-60	M	43616	562	601	267	1415	13320	893	515	34738	444	38493	347	1482	13501	1888	13028	995	271	1885	12537	778	8057	1671	2632	23745	407	6978	295	607	282	566	235	578	264	564	259	11425	308	16176	349	782	6631	766	5728	592	307
WG4564689-DNA-E09-61	F	44587	546	734	454	1177	13707	839	503	40049	692	44393	580	1718	14872	2132	14518	1290	506	2260	14282	887	9412	2038	3111	28795	627	8177	467	673	484	732	500	715	487	766	466	13738	535	18845	561	1067	7762	982	6428	666	492
WG4564689-DNA-B04-62	F	33308	435	367	276	1005	8751	544	347	35279	469	37198	385	1865	9170	2343	9280	873	290	1905	8047	537	5805	1685	2323	20485	425	6057	277	392	258	329	267	396	272	381	259	10884	336	12998	349	593	5113	673	4172	370	311
WG4564689-DNA-E06-63	F	48073	551	780	371	1287	17347	857	601	40873	564	44394	439	1843	17826	2269	17347	1338	369	2262	16415	907	10602	2270	3491	29023	535	10118	359	743	359	731	339	687	367	701	358	14375	420	19251	482	1016	9105	1045	7843	749	478
WG4564689-DNA-G06-64	M	52389	734	817	417	1581	19594	1058	742	41582	687	44561	514	1945	19639	2407	19104	1636	419	2326	18275	935	11888	2531	3727	30150	615	10484	424	782	360	662	376	647	454	715	390	15691	467	19719	550	1092	10040	1089	8452	725	474
WG4564689-DNA-C04-65	F	33770	538	456	298	1210	10024	646	438	35110	573	36756	474	2116	10369	2650	10456	971	328	2278	9600	664	6920	1941	2865	20106	462	6573	314	446	290	419	282	458	318	448	306	9636	385	14522	396	706	6080	821	5205	410	368
WG4564689-DNA-F11-66	M	39417	457	685	313	1050	14235	686	380	35941	576	38230	434	1590	15994	1845	15384	1038	380	2027	15266	772	9870	1841	3264	24812	490	7164	357	657	345	633	331	607	348	605	326	13674	421	15311	387	886	8499	878	7096	579	347
WG4564689-DNA-A05-67	F	45070	558	561	317	1135	12503	840	489	35821	521	42123	394	1465	12160	1713	11606	1039	334	1858	11229	629	7378	1584	2318	24018	394	4978	308	490	318	459	301	509	324	443	298	12599	368	15771	348	672	5679	640	4727	442	383
WG4564689-DNA-F12-68	M	37155	458	679	341	1300	14465	737	434	35966	561	37885	389	2195	14735	2540	14408	1092	348	2556	14067	850	9518	2438	3435	23002	530	7792	358	579	331	621	304	602	342	581	334	12108	392	15682	414	901	8309	1075	6967	627	345
WG4564689-DNA-A04-69	M	32666	417	359	288	813	8572	501	312	35038	469	36154	346	1677	9030	2126	8944	782	250	1660	8137	504	5736	1426	2169	19567	403	5397	280	358	249	314	234	324	272	357	247	9960	310	12748	329	556	4837	662	4261	407	307
WG4564689-DNA-B11-70	M	30577	322	507	249	878	10523	573	248	30230	410	33625	364	1445	11102	1718	10778	887	267	1797	10613	636	7161	1514	2455	20060	402	6106	285	451	252	500	254	477	269	486	238	10016	285	12769	299	729	6094	742	4934	434	308
WG4564689-DNA-E10-71	F	48268	643	692	507	1406	16529	869	584	42490	778	46299	622	1831	17312	2175	16704	1274	529	2283	16565	885	10705	2121	3481	31479	716	9368	528	690	496	695	478	740	500	698	512	14980	595	20287	619	976	9116	1107	7679	716	568
WG4564689-DNA-H01-72	F	53851	833	702	560	1773	18820	953	677	48074	875	51962	671	2230	22116	2752	21451	1722	607	2693	20592	1037	13381	2967	4152	35992	854	9639	573	754	552	650	595	660	592	718	546	17657	665	23579	683	1134	11021	1179	9227	763	622
WG4564689-DNA-D09-73	M	46716	525	589	404	1249	13813	802	407	42554	625	46123	505	1712	16290	1966	15770	1135	379	2114	15387	737	10072	1892	3373	31100	593	12341	452	527	354	551	399	523	388	552	378	12223	399	13287	445	1305	9387	780	5244	583	453
WG4564689-DNA-C08-74	F	43358	440	649	305	1199	13008	735	364	37083	450	40216	387	1636	14306	1885	13700	1200	302	1994	13276	859	8491	1755	2834	25178	445	8184	295	624	287	669	267	643	303	623	280	14313	359	16674	378	888	7079	950	5960	616	357
WG4564689-DNA-F03-75	M	50481	670	659	513	1362	15635	647	498	44177	704	48105	571	1810	16969	2330	16680	1387	469	2461	16191	837	10538	2403	3481	31026	640	9379	472	605	447	643	427	613	461	633	446	16839	527	20338	542	936	8703	1029	7654	648	526
WG4564689-DNA-A02-76	M	41420	335	477	230	1130	11496	590	267	32923	399	37621	283	1271	12116	1666	11787	950	242	1625	11494	670	7480	1386	2282	23441	370	6719	229	504	205	422	220	486	231	469	217	10411	254	15700	295	776	6045	734	4995	464	294
WG4564689-DNA-H03-77	M	54756	843	667	598	1524	19279	834	684	49773	856	52814	714	2239	22067	2889	21513	1970	556	2761	20507	1037	13458	3242	4248	35034	791	10094	620	724	599	659	562	626	581	729	551	19675	677	23733	688	1005	10424	1015	9509	701	646
WG4564689-DNA-G02-78	F	49753	567	734	365	1479	17031	867	414	40544	612	43692	455	1687	18905	2092	18251	1303	392	2147	17779	922	11631	2249	3640	29922	597	9266	412	641	357	674	372	675	409	727	394	16890	475	19105	443	1002	9817	1045	8213	724	431
WG4564689-DNA-E05-79	F	48509	672	687	414	1156	15431	960	617	41945	684	45828	553	1821	15677	2218	15327	1355	458	2230	14750	923	9687	2127	3176	28694	614	7816	472	650	419	610	417	637	470	704	407	15618	496	17977	490	900	7846	910	6519	704	487
WG4564689-DNA-C09-80	M	44423	445	574	370	1135	11725	687	418	37087	569	41696	455	1472	13693	1727	13008	1087	428	1969	13056	685	8343	1627	2751	26425	533	7004	417	494	374	499	376	545	361	555	391	12704	431	17155	482	758	6728	781	5711	514	412
WG4564689-DNA-A10-81	M	45132	596	528	397	1114	12217	682	475	36982	569	42921	457	1400	13479	1803	13215	1097	371	1808	12861	689	8351	1685	2700	26788	547	6619	386	554	361	526	372	466	401	548	370	11661	424	17297	445	796	6933	718	5432	495	416
WG4564689-DNA-G10-82	M	51544	710	707	516	1559	17842	893	675	43796	939	47013	678	1903	19010	2350	18506	1520	599	2368	18244	886	11743	2671	3722	31671	762	9317	604	823	546	754	565	761	607	767	535	16128	625	21441	663	1162	10109	1143	8537	834	632
WG4564689-DNA-B05-83	F	45824	550	560	322	1381	12956	957	472	36261	465	40284	412	1436	11764	1689	11349	950	337	1900	11244	669	7238	1494	2382	24524	423	5923	335	492	330	467	314	492	319	517	302	11359	367	15567	355	775	5830	825	4901	505	371
WG4564689-DNA-G12-84	F	42722	446	760	424	1305	16744	732	399	38137	733	39453	622	2366	18323	2681	17637	1346	444	2532	17132	890	11146	2688	3960	24801	621	7535	473	743	404	646	363	736	442	780	436	13549	520	17368	523	934	9478	1133	8188	745	492
WG4564689-DNA-A12-85	M	27243	364	337	250	780	9785	446	314	27313	491	28559	362	1553	9445	1841	9417	799	255	1477	8112	458	6067	1423	2436	13609	389	4019	237	328	229	303	228	358	226	313	224	6382	288	9026	298	500	5366	587	4625	323	286
WG4564689-DNA-E08-86	F	49327	591	958	453	1502	16603	895	492	43400	718	45801	576	2071	19350	2485	18521	1488	427	2437	16537	1062	10596	2408	3498	28602	651	8832	440	894	481	887	378	902	449	912	429	14212	495	19316	491	1125	9066	1213	7722	872	514
WG4564689-DNA-B08-87	F	42201	389	622	280	1226	11974	685	331	35596	442	38731	339	1516	13274	1878	12395	1008	267	1860	12056	780	7997	1645	2593	23857	401	7087	273	588	246	590	256	572	250	576	235	12979	315	16340	321	839	6523	918	5476	575	308
WG4564689-DNA-G01-88	F	52722	748	705	521	1631	16029	945	613	45169	793	48421	569	1913	18661	2502	18385	1541	509	2495	18014	970	11582	2651	3688	32527	737	8774	522	618	530	650	471	742	487	670	461	15369	574	21635	623	1082	9621	1051	8151	746	641
WG4564689-DNA-D02-89	F	43835	429	676	326	1278	13869	763	337	37641	526	40843	409	1504	15306	1858	15108	1115	360	2040	14916	831	9782	1919	3067	25768	478	7245	341	616	339	653	288	639	336	663	276	13685	387	18034	393	798	7924	874	6678	638	338
WG4564689-DNA-H12-90	F	2203	514	1938	473	1706	18679	1911	454	1941	740	1938	682	3409	21001	3855	20263	3082	478	1443	19230	2559	12438	3972	4154	2442	669	3488	497	2316	437	3399	423	2158	426	1622	480	2455	545	2227	552	2218	10643	4161	9139	5353	561
WG4564689-DNA-D04-91	M	41885	544	566	341	1338	11636	661	448	41153	562	42553	474	2383	13036	2850	12818	1084	376	2521	11671	713	7986	2251	3050	25472	519	8359	370	508	386	503	338	524	379	508	350	13299	409	17624	440	757	6936	907	6027	502	383
